The power Details of router and TSV links ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 4000,,,,,,,,,,,,,,,,,,,,,,,
 ,4000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.000671364+0.000848876,0.0282271,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.000635687+0.000848876,0.0281914,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.000619037+0.000848876,0.0281747,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.000675046+0.000848876,0.0282307,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.000737245+0.00141479,0.0288589,,,,,,,,,,,,,,,,,,,,,
Router-5,0.0267068+0.000752069+0.00141479,0.0288737,,,,,,,,,,,,,,,,,,,,,
Router-6,0.0267068+0.000674738+0.00141479,0.0287964,,,,,,,,,,,,,,,,,,,,,
Router-7,0.0267068+0.000772317+0.00141479,0.0288939,,,,,,,,,,,,,,,,,,,,,
Router-8,0.0267068+0.000720173+0.00141479,0.0288418,,,,,,,,,,,,,,,,,,,,,
Router-9,0.0267068+0.000705382+0.00141479,0.028827,,,,,,,,,,,,,,,,,,,,,
Router-10,0.0267068+0.000742608+0.00141479,0.0288642,,,,,,,,,,,,,,,,,,,,,
Router-11,0.0267068+0.000642333+0.00141479,0.028764,,,,,,,,,,,,,,,,,,,,,
Router-12,0.0267068+0.000502676+0.00141479,0.0286243,,,,,,,,,,,,,,,,,,,,,
Router-13,0.0267068+0.000405082+0.00141479,0.0285267,,,,,,,,,,,,,,,,,,,,,
Router-14,0.0267068+0.000513609+0.00141479,0.0286352,,,,,,,,,,,,,,,,,,,,,
Router-15,0.0267068+0.000421329+0.00141479,0.0285429,,,,,,,,,,,,,,,,,,,,,
Router-16,0.0267068+0.000526767+0.00141479,0.0286484,,,,,,,,,,,,,,,,,,,,,
Router-17,0.0267068+0.000358767+0.00141479,0.0284804,,,,,,,,,,,,,,,,,,,,,
Router-18,0.0267068+0.000302355+0.00141479,0.028424,,,,,,,,,,,,,,,,,,,,,
Router-19,0.0267068+0.000359258+0.00141479,0.0284809,,,,,,,,,,,,,,,,,,,,,
Router-20,0.0267068+0.000397233+0.00141479,0.0285188,,,,,,,,,,,,,,,,,,,,,
Router-21,0.0267068+0.000469905+0.00141479,0.0285915,,,,,,,,,,,,,,,,,,,,,
Router-22,0.0267068+0.000411312+0.00141479,0.0285329,,,,,,,,,,,,,,,,,,,,,
Router-23,0.0267068+0.000350875+0.00141479,0.0284725,,,,,,,,,,,,,,,,,,,,,
Router-24,0.0267068+0.000396367+0.00141479,0.028518,,,,,,,,,,,,,,,,,,,,,
Router-25,0.0267068+0.000337732+0.00141479,0.0284593,,,,,,,,,,,,,,,,,,,,,
Router-26,0.0267068+0.000535426+0.00141479,0.028657,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Internal Reports:,,,,,,,,,,,,,,,,,,,,,,,
Total Number of Detected Flits:		4979 ( Header: 1000 ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
 at 5000,,,,,,,,,,,,,,,,,,,,,,,
 ,5000,,,,,,,,,,,,,,,,,,,,,,
Router-0,0.0267068+0.000598857+0.000848876,0.0281546,,,,,,,,,,,,,,,,,,,,,
Router-1,0.0267068+0.000694609+0.000848877,0.0282503,,,,,,,,,,,,,,,,,,,,,
Router-2,0.0267068+0.000693917+0.000848877,0.0282496,,,,,,,,,,,,,,,,,,,,,
Router-3,0.0267068+0.000590454+0.000848876,0.0281462,,,,,,,,,,,,,,,,,,,,,
Router-4,0.0267068+0.000754332+0.00141479,0.0288759,,,,,,,,,,,,,,,,,,,,,
