The power Details of router and TSV links ,,,
,,,
	 ,,,
 	 at 4000,,,
  	 ,,,
power time ,,,
,4000,,
Router-0,0.0267068+0.000671364+0.000848876,0.0282271,28.2271
Router-1,0.0267068+0.000635687+0.000848876,0.0281914,28.1914
Router-2,0.0267068+0.000619037+0.000848876,0.0281747,28.1747
Router-3,0.0267068+0.000675046+0.000848876,0.0282307,28.2307
Router-4,0.0267068+0.000737245+0.00141479,0.0288589,28.8589
Router-5,0.0267068+0.000752069+0.00141479,0.0288737,28.8737
Router-6,0.0267068+0.000674738+0.00141479,0.0287964,28.7964
Router-7,0.0267068+0.000772317+0.00141479,0.0288939,28.8939
Router-8,0.0267068+0.000720173+0.00141479,0.0288418,28.8418
Router-9,0.0267068+0.000705382+0.00141479,0.028827,28.827
Router-10,0.0267068+0.000742608+0.00141479,0.0288642,28.8642
Router-11,0.0267068+0.000642333+0.00141479,0.028764,28.764
Router-12,0.0267068+0.000502676+0.00141479,0.0286243,28.6243
Router-13,0.0267068+0.000405082+0.00141479,0.0285267,28.5267
Router-14,0.0267068+0.000513609+0.00141479,0.0286352,28.6352
Router-15,0.0267068+0.000421329+0.00141479,0.0285429,28.5429
Router-16,0.0267068+0.000526767+0.00141479,0.0286484,28.6484
Router-17,0.0267068+0.000358767+0.00141479,0.0284804,28.4804
Router-18,0.0267068+0.000302355+0.00141479,0.028424,28.424
Router-19,0.0267068+0.000359258+0.00141479,0.0284809,28.4809
Router-20,0.0267068+0.000397233+0.00141479,0.0285188,28.5188
Router-21,0.0267068+0.000469905+0.00141479,0.0285915,28.5915
Router-22,0.0267068+0.000411312+0.00141479,0.0285329,28.5329
Router-23,0.0267068+0.000350875+0.00141479,0.0284725,28.4725
Router-24,0.0267068+0.000396367+0.00141479,0.028518,28.518
Router-25,0.0267068+0.000337732+0.00141479,0.0284593,28.4593
Router-26,0.0267068+0.000535426+0.00141479,0.028657,28.657
,,,0
Internal Reports:,,,0
Total Number of Detected Flits:		4979 ( Header: 1000 ),,,0
,,,0
	 ,,,0
 	 at 6000,,,0
  	 ,,,0
power time ,,,0
,6000,,0
Router-0,0.0267068+0.000602716+0.000848877,0.0281584,28.1584
Router-1,0.0267068+0.000685645+0.000848877,0.0282413,28.2413
Router-2,0.0267068+0.000688204+0.000848877,0.0282439,28.2439
Router-3,0.0267068+0.000587861+0.000848876,0.0281436,28.1436
Router-4,0.0267068+0.000736503+0.00141479,0.0288581,28.8581
Router-5,0.0267068+0.000647017+0.00141479,0.0287686,28.7686
Router-6,0.0267068+0.00069188+0.00141479,0.0288135,28.8135
Router-7,0.0267068+0.000884716+0.00141479,0.0290063,29.0063
Router-8,0.0267068+0.000733279+0.00141479,0.0288549,28.8549
Router-9,0.0267068+0.000675679+0.00141479,0.0287973,28.7973
Router-10,0.0267068+0.000735673+0.00141479,0.0288573,28.8573
Router-11,0.0267068+0.000646937+0.00141479,0.0287686,28.7686
Router-12,0.0267068+0.000397792+0.00141479,0.0285194,28.5194
Router-13,0.0267068+0.000414133+0.00141479,0.0285358,28.5358
Router-14,0.0267068+0.000459677+0.00141479,0.0285813,28.5813
Router-15,0.0267068+0.000380882+0.00141479,0.0285025,28.5025
Router-16,0.0267068+0.000482762+0.00141479,0.0286044,28.6044
Router-17,0.0267068+0.000472489+0.00141479,0.0285941,28.5941
Router-18,0.0267068+0.000378554+0.00141479,0.0285002,28.5002
Router-19,0.0267068+0.000370378+0.00141479,0.028492,28.492
Router-20,0.0267068+0.000392+0.00141479,0.0285136,28.5136
Router-21,0.0267068+0.000448633+0.00141479,0.0285703,28.5703
Router-22,0.0267068+0.000389132+0.00141479,0.0285107,28.5107
Router-23,0.0267068+0.000380947+0.00141479,0.0285026,28.5026
